epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.98551,1.14132,4.41238,1.29076,0,0,0,0,0,18.3594,0,0.001,0.001,0.091
2,9.70045,0.88472,3.72135,1.0719,0,0,0,0,0,15.75,0,0.0020896,0.0020896,0.0810896
3,12.3288,0.76944,2.46419,0.95586,0,0,0,0,0,13.3516,0,0.00316832,0.00316832,0.0711683
4,14.8105,0.79387,1.68691,0.94309,0,0,0,0,0,5.39062,0,0.00423614,0.00423614,0.0612361
5,17.3778,0.75522,1.31882,0.91091,0,0,0,0,0,2.72852,0,0.00529308,0.00529308,0.0512931
6,19.8571,0.79691,1.21066,0.93805,0,0,0,0,0,2.67773,0,0.00633912,0.00633912,0.0413391
7,22.3462,0.85322,1.14734,0.94811,0,0,0,0,0,2.69922,0,0.00737428,0.00737428,0.0313743
8,24.8733,0.77187,1.13319,0.94756,0,0,0,0,0,2.63672,0,0.00839854,0.00839854,0.0213985
9,27.3289,0.89503,1.11969,0.94843,0,0,0,0,0,2.72656,0,0.00941192,0.00941192,0.0114119
10,29.7518,0.80187,1.10262,0.95236,0,0,0,0,0,2.71875,0,0.0095545,0.0095545,0.0095545
11,32.163,0.8842,1.05316,0.98602,0,0,0,0,0,2.48242,0,0.009505,0.009505,0.009505
12,34.6008,0.7872,1.00795,0.94447,0,0,0,0,0,2.23242,0,0.0094555,0.0094555,0.0094555
13,37.0077,0.76346,1.07318,0.93902,0,0,0,0,0,1.90625,0,0.009406,0.009406,0.009406
14,39.4987,0.76979,1.04216,0.9154,0,0,0,0,0,1.7207,0,0.0093565,0.0093565,0.0093565
15,41.947,0.77109,0.98756,0.93054,0,0,0,0,0,1.27539,0,0.009307,0.009307,0.009307
16,44.4442,0.79012,0.94093,0.95455,0,0,0,0,0,0.79102,0,0.0092575,0.0092575,0.0092575
17,46.8216,0.73836,0.88056,0.9222,0,0,0,0,0,1.02637,0,0.009208,0.009208,0.009208
18,49.2995,0.77134,0.94689,0.94354,0,0,0,0,0,0.1582,0,0.0091585,0.0091585,0.0091585
19,51.7215,0.72925,0.86377,0.93338,0,0,0,0,0,0.2168,0,0.009109,0.009109,0.009109
20,54.2255,0.74059,0.82886,0.93551,0,0,0,0,0,0.18164,0,0.0090595,0.0090595,0.0090595
21,56.6157,0.70301,0.77247,0.90255,0,0,0,0,0,0.4375,0,0.00901,0.00901,0.00901
22,59.0598,0.78082,0.81948,0.96825,0,0,0,0,0,0.78369,0,0.0089605,0.0089605,0.0089605
23,61.4781,0.68145,0.73481,0.90846,0,0,0,0,0,0.20117,0,0.008911,0.008911,0.008911
24,63.925,0.74388,0.77179,0.92682,0,0,0,0,0,0.28711,0,0.0088615,0.0088615,0.0088615
25,66.3405,0.67531,0.71646,0.88747,0,0,0,0,0,0.08008,0,0.008812,0.008812,0.008812
26,68.75,0.70954,0.74154,0.92006,0,0,0,0,0,0.04492,0,0.0087625,0.0087625,0.0087625
27,71.2056,0.69233,0.66139,0.91461,0,0,0,0,0,0.36523,0,0.008713,0.008713,0.008713
28,73.7143,0.6812,0.72141,0.91621,0,0,0,0,0,0.12695,0,0.0086635,0.0086635,0.0086635
29,76.2394,0.71605,0.7109,0.92235,0,0,0,0,0,0.50977,0,0.008614,0.008614,0.008614
30,78.7051,0.66911,0.65318,0.90444,0,0,0,0,0,0.10547,0,0.0085645,0.0085645,0.0085645
31,81.1266,0.70519,0.65343,0.93007,0,0,0,0,0,0.01758,0,0.008515,0.008515,0.008515
32,83.5794,0.65507,0.62782,0.90266,0,0,0,0,0,0.27148,0,0.0084655,0.0084655,0.0084655
33,86.0092,0.70474,0.64945,0.92023,0,0,0,0,0,0.20117,0,0.008416,0.008416,0.008416
34,88.5078,0.63008,0.64406,0.92142,0,0,0,0,0,0.10645,0,0.0083665,0.0083665,0.0083665
35,90.9589,0.65796,0.64533,0.87677,0,0,0,0,0,0.01953,0,0.008317,0.008317,0.008317
36,93.491,0.6864,0.64534,0.91055,0,0,0,0,0,0.06934,0,0.0082675,0.0082675,0.0082675
37,95.983,0.65765,0.65491,0.89346,0,0,0,0,0,0.11328,0,0.008218,0.008218,0.008218
38,98.5159,0.6448,0.60455,0.89214,0,0,0,0,0,0.1377,0,0.0081685,0.0081685,0.0081685
39,101.059,0.66836,0.61917,0.92377,0,0,0,0,0,0.07617,0,0.008119,0.008119,0.008119
40,103.507,0.68193,0.62439,0.90448,0,0,0,0,0,0.00781,0,0.0080695,0.0080695,0.0080695
41,105.92,0.67871,0.60558,0.91237,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
42,108.471,0.67104,0.57958,0.9201,0,0,0,0,0,0.00195,0,0.0079705,0.0079705,0.0079705
43,110.985,0.66143,0.60602,0.91601,0,0,0,0,0,0.00781,0,0.007921,0.007921,0.007921
44,113.497,0.64427,0.57682,0.90631,0,0,0,0,0,0.00195,0,0.0078715,0.0078715,0.0078715
45,115.994,0.6378,0.57292,0.90301,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
46,118.482,0.6666,0.58998,0.92272,0,0,0,0,0,0.0293,0,0.0077725,0.0077725,0.0077725
47,120.889,0.59563,0.58144,0.88224,0,0,0,0,0,0.04688,0,0.007723,0.007723,0.007723
48,123.331,0.65586,0.64716,0.90251,0,0,0,0,0,0.05273,0,0.0076735,0.0076735,0.0076735
49,125.765,0.62551,0.54239,0.88555,0,0,0,0,0,0.05664,0,0.007624,0.007624,0.007624
50,128.251,0.62343,0.54596,0.89705,0,0,0,0,0,0.91504,0,0.0075745,0.0075745,0.0075745
51,130.694,0.66058,0.54195,0.90258,0,0,0,0,0,0.33496,0,0.007525,0.007525,0.007525
52,133.172,0.65391,0.56841,0.90342,0,0,0,0,0,0.06641,0,0.0074755,0.0074755,0.0074755
53,135.604,0.60078,0.56163,0.89183,0,0,0,0,0,0.25586,0,0.007426,0.007426,0.007426
54,138.125,0.60921,0.53824,0.87004,0,0,0,0,0,0.21094,0,0.0073765,0.0073765,0.0073765
55,140.612,0.56632,0.50037,0.86689,0,0,0,0,0,2.05078,0,0.007327,0.007327,0.007327
56,143.12,0.58813,0.52805,0.88267,0,0,0,0,0,1.23242,0,0.0072775,0.0072775,0.0072775
57,145.509,0.59623,0.57809,0.87997,0,0,0,0,0,0.45605,0,0.007228,0.007228,0.007228
58,147.981,0.58295,0.51312,0.88429,0,0,0,0,0,0.21582,0,0.0071785,0.0071785,0.0071785
59,150.52,0.55581,0.48351,0.87716,0,0,0,0,0,1.01367,0,0.007129,0.007129,0.007129
60,153.018,0.57504,0.50995,0.87586,0,0,0,0,0,0.18164,0,0.0070795,0.0070795,0.0070795
61,155.569,0.5649,0.49977,0.86023,0,0,0,0,0,0.22363,0,0.00703,0.00703,0.00703
62,158.072,0.57982,0.54453,0.88522,0,0,0,0,0,1.0957,0,0.0069805,0.0069805,0.0069805
63,160.494,0.58564,0.5188,0.88539,0,0,0,0,0,0.2041,0,0.006931,0.006931,0.006931
64,162.929,0.59994,0.50976,0.88916,0,0,0,0,0,0.00391,0,0.0068815,0.0068815,0.0068815
65,165.361,0.58745,0.56854,0.8987,0,0,0,0,0,0.00195,0,0.006832,0.006832,0.006832
66,167.826,0.59165,0.50499,0.89143,0,0,0,0,0,0.04492,0,0.0067825,0.0067825,0.0067825
67,170.325,0.64226,0.52085,0.9207,0,0,0,0,0,0.11133,0,0.006733,0.006733,0.006733
68,172.781,0.57399,0.50295,0.86541,0,0,0,0,0,0.05273,0,0.0066835,0.0066835,0.0066835
69,175.228,0.55806,0.48551,0.87167,0,0,0,0,0,0.06055,0,0.006634,0.006634,0.006634
70,177.666,0.55801,0.46832,0.87949,0,0,0,0,0,0.12695,0,0.0065845,0.0065845,0.0065845
71,180.192,0.58126,0.49591,0.8858,0,0,0,0,0,0.14258,0,0.006535,0.006535,0.006535
72,182.609,0.61308,0.53155,0.88101,0,0,0,0,0,0.07617,0,0.0064855,0.0064855,0.0064855
73,184.998,0.54999,0.4942,0.86654,0,0,0,0,0,0.18359,0,0.006436,0.006436,0.006436
74,187.495,0.57128,0.45136,0.85865,0,0,0,0,0,0.19824,0,0.0063865,0.0063865,0.0063865
75,190.027,0.57646,0.48853,0.88656,0,0,0,0,0,0.5,0,0.006337,0.006337,0.006337
76,192.525,0.58113,0.47383,0.86605,0,0,0,0,0,0.52246,0,0.0062875,0.0062875,0.0062875
77,194.949,0.58263,0.4815,0.90317,0,0,0,0,0,0.26758,0,0.006238,0.006238,0.006238
78,197.379,0.5792,0.49694,0.89102,0,0,0,0,0,0.1543,0,0.0061885,0.0061885,0.0061885
79,199.859,0.55066,0.47341,0.87292,0,0,0,0,0,0.22656,0,0.006139,0.006139,0.006139
80,202.334,0.60595,0.50389,0.90021,0,0,0,0,0,0.59766,0,0.0060895,0.0060895,0.0060895
81,204.778,0.58892,0.46363,0.87342,0,0,0,0,0,0.25,0,0.00604,0.00604,0.00604
82,207.288,0.61744,0.52028,0.91042,0,0,0,0,0,0.39941,0,0.0059905,0.0059905,0.0059905
83,209.706,0.56218,0.47592,0.87572,0,0,0,0,0,0.36133,0,0.005941,0.005941,0.005941
84,212.186,0.59874,0.49019,0.89349,0,0,0,0,0,0.89697,0,0.0058915,0.0058915,0.0058915
85,214.602,0.52688,0.43422,0.87133,0,0,0,0,0,0.69043,0,0.005842,0.005842,0.005842
86,217.034,0.56042,0.46509,0.87909,0,0,0,0,0,0.07715,0,0.0057925,0.0057925,0.0057925
87,219.541,0.54286,0.4556,0.86631,0,0,0,0,0,0.00195,0,0.005743,0.005743,0.005743
88,222.037,0.55571,0.44542,0.87182,0,0,0,0,0,0.00586,0,0.0056935,0.0056935,0.0056935
89,224.465,0.52761,0.43835,0.86613,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
90,226.965,0.54442,0.44909,0.86333,0,0,0,0,0,0.00586,0,0.0055945,0.0055945,0.0055945
91,229.421,0.5491,0.45431,0.88397,0,0,0,0,0,0.01172,0,0.005545,0.005545,0.005545
92,231.876,0.53212,0.44616,0.86718,0,0,0,0,0,0.01758,0,0.0054955,0.0054955,0.0054955
93,234.313,0.53602,0.46492,0.87015,0,0,0,0,0,0.03809,0,0.005446,0.005446,0.005446
94,236.825,0.55476,0.45257,0.88447,0,0,0,0,0,0.06445,0,0.0053965,0.0053965,0.0053965
95,239.272,0.53397,0.44207,0.87017,0,0,0,0,0,0.04492,0,0.005347,0.005347,0.005347
96,241.726,0.56098,0.42572,0.88035,0,0,0,0,0,0.00977,0,0.0052975,0.0052975,0.0052975
97,244.183,0.55787,0.45294,0.88208,0,0,0,0,0,0.02344,0,0.005248,0.005248,0.005248
98,246.599,0.5578,0.47586,0.88267,0,0,0,0,0,0.60645,0,0.0051985,0.0051985,0.0051985
99,249.085,0.53037,0.43892,0.86203,0,0,0,0,0,1.82324,0,0.005149,0.005149,0.005149
100,251.55,0.47097,0.4033,0.85496,0,0,0,0,0,3.20703,0,0.0050995,0.0050995,0.0050995
101,254.064,0.56903,0.46178,0.87883,0,0,0,0,0,3.94336,0,0.00505,0.00505,0.00505
102,256.496,0.53936,0.42358,0.85539,0,0,0,0,0,3.6543,0,0.0050005,0.0050005,0.0050005
103,258.974,0.51627,0.41969,0.85432,0,0,0,0,0,2.27539,0,0.004951,0.004951,0.004951
104,261.418,0.54026,0.4623,0.87486,0,0,0,0,0,0.72559,0,0.0049015,0.0049015,0.0049015
105,263.83,0.51463,0.43749,0.86196,0,0,0,0,0,0.29004,0,0.004852,0.004852,0.004852
106,266.291,0.51874,0.4368,0.85803,0,0,0,0,0,0.04492,0,0.0048025,0.0048025,0.0048025
107,268.786,0.51339,0.43138,0.86958,0,0,0,0,0,0.00977,0,0.004753,0.004753,0.004753
108,271.245,0.53717,0.42598,0.87048,0,0,0,0,0,0.03906,0,0.0047035,0.0047035,0.0047035
109,273.81,0.48882,0.41869,0.84622,0,0,0,0,0,0.06641,0,0.004654,0.004654,0.004654
110,276.361,0.53173,0.4362,0.84654,0,0,0,0,0,0.11523,0,0.0046045,0.0046045,0.0046045
111,279.003,0.48353,0.40614,0.84755,0,0,0,0,0,0.08203,0,0.004555,0.004555,0.004555
112,281.616,0.54501,0.46064,0.86847,0,0,0,0,0,0.08203,0,0.0045055,0.0045055,0.0045055
113,284.093,0.52522,0.43069,0.87492,0,0,0,0,0,0.05469,0,0.004456,0.004456,0.004456
114,286.584,0.50949,0.41918,0.86769,0,0,0,0,0,0.05078,0,0.0044065,0.0044065,0.0044065
115,289.071,0.49533,0.40888,0.87058,0,0,0,0,0,0.00391,0,0.004357,0.004357,0.004357
116,291.545,0.52751,0.42106,0.84988,0,0,0,0,0,0.00781,0,0.0043075,0.0043075,0.0043075
117,293.972,0.46219,0.37342,0.83067,0,0,0,0,0,0.01758,0,0.004258,0.004258,0.004258
118,296.426,0.46952,0.3954,0.84649,0,0,0,0,0,0.02539,0,0.0042085,0.0042085,0.0042085
119,298.891,0.53422,0.42019,0.86995,0,0,0,0,0,0.01953,0,0.004159,0.004159,0.004159
120,301.397,0.55104,0.42654,0.87503,0,0,0,0,0,0.05664,0,0.0041095,0.0041095,0.0041095
121,303.832,0.47006,0.35911,0.84651,0,0,0,0,0,0.05859,0,0.00406,0.00406,0.00406
122,306.314,0.52707,0.40464,0.87737,0,0,0,0,0,0.00977,0,0.0040105,0.0040105,0.0040105
123,308.791,0.53335,0.44648,0.87083,0,0,0,0,0,0.00391,0,0.003961,0.003961,0.003961
124,311.274,0.52168,0.39297,0.86192,0,0,0,0,0,0.01953,0,0.0039115,0.0039115,0.0039115
125,313.693,0.4669,0.39393,0.85374,0,0,0,0,0,0.01758,0,0.003862,0.003862,0.003862
126,316.148,0.48863,0.41281,0.83916,0,0,0,0,0,0.00391,0,0.0038125,0.0038125,0.0038125
127,318.608,0.46401,0.37509,0.8525,0,0,0,0,0,0.00391,0,0.003763,0.003763,0.003763
128,321.092,0.45374,0.37071,0.84527,0,0,0,0,0,0.07227,0,0.0037135,0.0037135,0.0037135
129,323.495,0.52782,0.40671,0.89484,0,0,0,0,0,0.02246,0,0.003664,0.003664,0.003664
130,326.066,0.49883,0.41635,0.86737,0,0,0,0,0,0.01758,0,0.0036145,0.0036145,0.0036145
131,328.573,0.4668,0.38258,0.86617,0,0,0,0,0,0.01367,0,0.003565,0.003565,0.003565
132,331.13,0.46882,0.37219,0.84869,0,0,0,0,0,0.00586,0,0.0035155,0.0035155,0.0035155
133,333.748,0.49475,0.39638,0.85371,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
134,336.296,0.50313,0.40186,0.86729,0,0,0,0,0,0.0293,0,0.0034165,0.0034165,0.0034165
135,338.826,0.51917,0.41807,0.8734,0,0,0,0,0,0.04102,0,0.003367,0.003367,0.003367
136,341.323,0.52106,0.41291,0.87579,0,0,0,0,0,0.00391,0,0.0033175,0.0033175,0.0033175
137,343.795,0.49816,0.369,0.8653,0,0,0,0,0,0.00977,0,0.003268,0.003268,0.003268
138,346.306,0.50838,0.38301,0.86552,0,0,0,0,0,0,0,0.0032185,0.0032185,0.0032185
139,348.798,0.49443,0.38245,0.87859,0,0,0,0,0,0.01172,0,0.003169,0.003169,0.003169
140,351.351,0.52448,0.40843,0.88337,0,0,0,0,0,0.0625,0,0.0031195,0.0031195,0.0031195
141,353.77,0.47682,0.4029,0.86524,0,0,0,0,0,0.08398,0,0.00307,0.00307,0.00307
142,356.27,0.46086,0.36452,0.86226,0,0,0,0,0,0.09766,0,0.0030205,0.0030205,0.0030205
143,358.722,0.45942,0.37331,0.85433,0,0,0,0,0,0.09375,0,0.002971,0.002971,0.002971
144,361.142,0.47251,0.34738,0.83854,0,0,0,0,0,0.08691,0,0.0029215,0.0029215,0.0029215
145,363.721,0.43391,0.34027,0.84456,0,0,0,0,0,0.05176,0,0.002872,0.002872,0.002872
146,366.217,0.46466,0.3734,0.84273,0,0,0,0,0,0.01367,0,0.0028225,0.0028225,0.0028225
147,368.733,0.48008,0.35695,0.85335,0,0,0,0,0,0.00586,0,0.002773,0.002773,0.002773
148,371.306,0.43237,0.32275,0.83349,0,0,0,0,0,0.00977,0,0.0027235,0.0027235,0.0027235
149,373.887,0.48055,0.38751,0.83745,0,0,0,0,0,0.00586,0,0.002674,0.002674,0.002674
150,376.457,0.47711,0.3608,0.8447,0,0,0,0,0,0.01758,0,0.0026245,0.0026245,0.0026245
151,378.964,0.45868,0.34438,0.84878,0,0,0,0,0,0.03125,0,0.002575,0.002575,0.002575
152,381.508,0.48832,0.39252,0.86983,0,0,0,0,0,0.03125,0,0.0025255,0.0025255,0.0025255
153,384.1,0.4842,0.34626,0.86191,0,0,0,0,0,0.0625,0,0.002476,0.002476,0.002476
154,386.631,0.46745,0.34819,0.85022,0,0,0,0,0,0.09766,0,0.0024265,0.0024265,0.0024265
155,389.226,0.45454,0.33318,0.83744,0,0,0,0,0,0.15039,0,0.002377,0.002377,0.002377
156,391.777,0.46264,0.35594,0.85242,0,0,0,0,0,0.25879,0,0.0023275,0.0023275,0.0023275
