epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.69263,1.14132,4.41238,1.29076,0,0,0,0,0,18.3594,0,0.001,0.001,0.091
2,9.45281,0.88181,3.72207,1.07151,0,0,0,0,0,15.75,0,0.00209584,0.00209584,0.0810958
3,12.1025,0.78383,2.46966,0.95614,0,0,0,0,0,13.3281,0,0.00318733,0.00318733,0.0711873
4,14.5645,0.78873,1.72175,0.94277,0,0,0,0,0,5.07812,0,0.00427446,0.00427446,0.0612745
5,17.0845,0.74331,1.31949,0.91141,0,0,0,0,0,2.70312,0,0.00535723,0.00535723,0.0513572
6,19.5877,0.79478,1.19847,0.92418,0,0,0,0,0,2.66016,0,0.00643565,0.00643565,0.0414356
7,22.052,0.81495,1.12283,0.93869,0,0,0,0,0,2.62891,0,0.00750971,0.00750971,0.0315097
8,24.5653,0.78951,1.05371,0.93906,0,0,0,0,0,2.73633,0,0.00857942,0.00857942,0.0215794
9,26.9922,0.81761,1.22986,0.96191,0,0,0,0,0,2.98633,0,0.00964477,0.00964477,0.0116448
10,29.6742,0.78328,1.23443,0.92904,0,0,0,0,0,3.39062,0,0.0098218,0.0098218,0.0098218
11,32.1319,0.88136,1.09796,0.97713,0,0,0,0,0,3.06055,0,0.009802,0.009802,0.009802
12,34.6441,0.856,1.06702,0.97835,0,0,0,0,0,3.46094,0,0.0097822,0.0097822,0.0097822
13,37.0835,0.85106,1.00167,0.95924,0,0,0,0,0,3.30469,0,0.0097624,0.0097624,0.0097624
14,39.5218,0.74834,0.99615,0.95486,0,0,0,0,0,3.33008,0,0.0097426,0.0097426,0.0097426
15,41.9391,0.78517,1.00722,0.95492,0,0,0,0,0,2.64453,0,0.0097228,0.0097228,0.0097228
16,44.4364,0.78761,1.01376,0.95111,0,0,0,0,0,2.92773,0,0.009703,0.009703,0.009703
17,46.8431,0.73189,0.91103,0.9349,0,0,0,0,0,7.18359,0,0.0096832,0.0096832,0.0096832
18,49.2691,0.82238,0.94343,0.97143,0,0,0,0,0,0.98047,0,0.0096634,0.0096634,0.0096634
19,51.7369,0.79649,0.87636,0.96094,0,0,0,0,0,0.98828,0,0.0096436,0.0096436,0.0096436
20,54.3175,0.79144,0.81154,0.95268,0,0,0,0,0,2.63477,0,0.0096238,0.0096238,0.0096238
21,56.7416,0.76109,0.76206,0.93284,0,0,0,0,0,3.29688,0,0.009604,0.009604,0.009604
22,59.2233,0.79618,0.8353,0.98352,0,0,0,0,0,1.03125,0,0.0095842,0.0095842,0.0095842
23,61.6173,0.68177,0.78845,0.92228,0,0,0,0,0,3.31055,0,0.0095644,0.0095644,0.0095644
24,64.1195,0.73222,0.7864,0.93467,0,0,0,0,0,0.72949,0,0.0095446,0.0095446,0.0095446
25,66.5721,0.70564,0.73357,0.90784,0,0,0,0,0,1.84082,0,0.0095248,0.0095248,0.0095248
26,69.0295,0.69464,0.75765,0.92811,0,0,0,0,0,1.50977,0,0.009505,0.009505,0.009505
27,71.5098,0.71091,0.72228,0.92321,0,0,0,0,0,0.31445,0,0.0094852,0.0094852,0.0094852
28,74.0267,0.68606,0.70811,0.9241,0,0,0,0,0,3.35352,0,0.0094654,0.0094654,0.0094654
29,76.455,0.73024,0.73092,0.94307,0,0,0,0,0,0.37695,0,0.0094456,0.0094456,0.0094456
30,78.9622,0.64928,0.65889,0.90205,0,0,0,0,0,3.20312,0,0.0094258,0.0094258,0.0094258
31,81.4885,0.73089,0.70785,0.95255,0,0,0,0,0,2.06445,0,0.009406,0.009406,0.009406
32,83.8854,0.69442,0.64265,0.92917,0,0,0,0,0,0.19824,0,0.0093862,0.0093862,0.0093862
33,86.372,0.71269,0.65588,0.9264,0,0,0,0,0,0.20605,0,0.0093664,0.0093664,0.0093664
34,88.9585,0.66942,0.6408,0.95021,0,0,0,0,0,0.01758,0,0.0093466,0.0093466,0.0093466
35,91.399,0.64881,0.64405,0.89354,0,0,0,0,0,0.08789,0,0.0093268,0.0093268,0.0093268
36,93.9269,0.69674,0.67321,0.9258,0,0,0,0,0,0.10938,0,0.009307,0.009307,0.009307
37,96.384,0.69888,0.68639,0.91159,0,0,0,0,0,0.16602,0,0.0092872,0.0092872,0.0092872
38,98.8341,0.68675,0.61415,0.91428,0,0,0,0,0,1.51953,0,0.0092674,0.0092674,0.0092674
39,101.277,0.68185,0.61175,0.93539,0,0,0,0,0,0.52637,0,0.0092476,0.0092476,0.0092476
40,103.737,0.68173,0.62185,0.91619,0,0,0,0,0,0.34766,0,0.0092278,0.0092278,0.0092278
41,106.179,0.71994,0.61746,0.93201,0,0,0,0,0,0.48242,0,0.009208,0.009208,0.009208
42,108.621,0.67148,0.5882,0.93314,0,0,0,0,0,0.51074,0,0.0091882,0.0091882,0.0091882
43,111.104,0.66034,0.60169,0.92983,0,0,0,0,0,0.49023,0,0.0091684,0.0091684,0.0091684
44,113.592,0.65731,0.59891,0.92572,0,0,0,0,0,0.11133,0,0.0091486,0.0091486,0.0091486
45,116.061,0.64737,0.59978,0.90956,0,0,0,0,0,0.0332,0,0.0091288,0.0091288,0.0091288
46,118.568,0.71321,0.61423,0.96684,0,0,0,0,0,0.00391,0,0.009109,0.009109,0.009109
47,121.059,0.61425,0.60507,0.90026,0,0,0,0,0,0.01953,0,0.0090892,0.0090892,0.0090892
48,123.458,0.67601,0.66215,0.91697,0,0,0,0,0,0.00195,0,0.0090694,0.0090694,0.0090694
49,125.862,0.6588,0.56334,0.89605,0,0,0,0,0,0.04297,0,0.0090496,0.0090496,0.0090496
50,128.376,0.64923,0.59895,0.91632,0,0,0,0,0,0.13477,0,0.0090298,0.0090298,0.0090298
51,130.773,0.64324,0.57895,0.91789,0,0,0,0,0,0.23047,0,0.00901,0.00901,0.00901
52,133.263,0.65476,0.58914,0.9125,0,0,0,0,0,0.31738,0,0.0089902,0.0089902,0.0089902
53,135.633,0.62427,0.55673,0.90741,0,0,0,0,0,0.58887,0,0.0089704,0.0089704,0.0089704
54,138.066,0.6165,0.5184,0.8779,0,0,0,0,0,1.17188,0,0.0089506,0.0089506,0.0089506
55,140.578,0.5941,0.50134,0.87333,0,0,0,0,0,1.95898,0,0.0089308,0.0089308,0.0089308
56,143.113,0.60027,0.53271,0.88704,0,0,0,0,0,7.59375,0,0.008911,0.008911,0.008911
57,145.54,0.64807,0.58607,0.90691,0,0,0,0,0,2.34961,0,0.0088912,0.0088912,0.0088912
58,147.999,0.59402,0.50269,0.89407,0,0,0,0,0,0.58057,0,0.0088714,0.0088714,0.0088714
59,150.467,0.60637,0.52722,0.9002,0,0,0,0,0,0.47754,0,0.0088516,0.0088516,0.0088516
60,152.919,0.61803,0.57546,0.89625,0,0,0,0,0,0.19434,0,0.0088318,0.0088318,0.0088318
61,155.359,0.58404,0.55288,0.87843,0,0,0,0,0,0.10938,0,0.008812,0.008812,0.008812
62,157.825,0.58835,0.54838,0.9041,0,0,0,0,0,0.06641,0,0.0087922,0.0087922,0.0087922
63,160.263,0.62809,0.55001,0.91339,0,0,0,0,0,0.48242,0,0.0087724,0.0087724,0.0087724
64,162.731,0.65764,0.53824,0.90835,0,0,0,0,0,5.61719,0,0.0087526,0.0087526,0.0087526
65,165.152,0.63953,0.56752,0.92817,0,0,0,0,0,5.46875,0,0.0087328,0.0087328,0.0087328
66,167.58,0.60091,0.53917,0.90619,0,0,0,0,0,1.99023,0,0.008713,0.008713,0.008713
67,170.019,0.65693,0.54569,0.92735,0,0,0,0,0,0.95117,0,0.0086932,0.0086932,0.0086932
68,172.474,0.59804,0.54745,0.87314,0,0,0,0,0,0.44824,0,0.0086734,0.0086734,0.0086734
69,175.011,0.5849,0.53328,0.88911,0,0,0,0,0,0.1377,0,0.0086536,0.0086536,0.0086536
70,177.501,0.60798,0.49684,0.90329,0,0,0,0,0,2.18945,0,0.0086338,0.0086338,0.0086338
71,179.944,0.59956,0.53886,0.90149,0,0,0,0,0,2.07617,0,0.008614,0.008614,0.008614
72,182.371,0.64174,0.54263,0.9093,0,0,0,0,0,0.76221,0,0.0085942,0.0085942,0.0085942
73,184.829,0.59636,0.51804,0.8987,0,0,0,0,0,1.33301,0,0.0085744,0.0085744,0.0085744
74,187.292,0.59054,0.48819,0.88087,0,0,0,0,0,0.00781,0,0.0085546,0.0085546,0.0085546
75,189.752,0.59406,0.50412,0.90323,0,0,0,0,0,0.03711,0,0.0085348,0.0085348,0.0085348
76,192.199,0.60239,0.49206,0.88527,0,0,0,0,0,0.08984,0,0.008515,0.008515,0.008515
77,194.654,0.61764,0.52696,0.92731,0,0,0,0,0,0.229,0,0.0084952,0.0084952,0.0084952
78,197.108,0.59374,0.53536,0.91825,0,0,0,0,0,0.08398,0,0.0084754,0.0084754,0.0084754
79,199.583,0.58449,0.50863,0.89579,0,0,0,0,0,0.02539,0,0.0084556,0.0084556,0.0084556
80,202.166,0.64807,0.52844,0.91395,0,0,0,0,0,0.00195,0,0.0084358,0.0084358,0.0084358
81,204.602,0.64244,0.49753,0.88965,0,0,0,0,0,0.04297,0,0.008416,0.008416,0.008416
82,207.15,0.64509,0.53253,0.92686,0,0,0,0,0,0.07227,0,0.0083962,0.0083962,0.0083962
83,209.641,0.60662,0.50085,0.90221,0,0,0,0,0,0.07227,0,0.0083764,0.0083764,0.0083764
84,212.066,0.62024,0.51802,0.90741,0,0,0,0,0,0.28516,0,0.0083566,0.0083566,0.0083566
85,214.576,0.55891,0.50453,0.89403,0,0,0,0,0,0.45312,0,0.0083368,0.0083368,0.0083368
86,217.067,0.61006,0.49801,0.90635,0,0,0,0,0,0.11426,0,0.008317,0.008317,0.008317
87,219.597,0.58656,0.47452,0.89358,0,0,0,0,0,0.48828,0,0.0082972,0.0082972,0.0082972
88,222.025,0.58247,0.48972,0.89677,0,0,0,0,0,0.96436,0,0.0082774,0.0082774,0.0082774
89,224.445,0.54508,0.4441,0.884,0,0,0,0,0,0.58984,0,0.0082576,0.0082576,0.0082576
90,226.965,0.58479,0.47637,0.88508,0,0,0,0,0,0.10938,0,0.0082378,0.0082378,0.0082378
91,229.435,0.57859,0.48957,0.89141,0,0,0,0,0,0.16504,0,0.008218,0.008218,0.008218
92,232.044,0.58347,0.49463,0.88752,0,0,0,0,0,0.12891,0,0.0081982,0.0081982,0.0081982
93,234.63,0.57857,0.49451,0.89435,0,0,0,0,0,0.06543,0,0.0081784,0.0081784,0.0081784
94,237.331,0.59621,0.48326,0.91445,0,0,0,0,0,0.00781,0,0.0081586,0.0081586,0.0081586
95,239.984,0.56932,0.48451,0.89331,0,0,0,0,0,0.03906,0,0.0081388,0.0081388,0.0081388
96,242.533,0.62047,0.47711,0.934,0,0,0,0,0,0.03027,0,0.008119,0.008119,0.008119
97,244.921,0.5876,0.47066,0.90866,0,0,0,0,0,0.01562,0,0.0080992,0.0080992,0.0080992
98,247.41,0.60249,0.51123,0.9043,0,0,0,0,0,0.03125,0,0.0080794,0.0080794,0.0080794
99,249.934,0.62174,0.47154,0.90178,0,0,0,0,0,0.02344,0,0.0080596,0.0080596,0.0080596
100,252.459,0.53434,0.43641,0.89054,0,0,0,0,0,0.03125,0,0.0080398,0.0080398,0.0080398
101,254.883,0.62988,0.49617,0.91026,0,0,0,0,0,0.07422,0,0.00802,0.00802,0.00802
102,257.399,0.58673,0.44876,0.87424,0,0,0,0,0,0.03906,0,0.0080002,0.0080002,0.0080002
103,259.946,0.54604,0.45706,0.85942,0,0,0,0,0,0.01953,0,0.0079804,0.0079804,0.0079804
104,262.387,0.5975,0.48167,0.89944,0,0,0,0,0,0.07617,0,0.0079606,0.0079606,0.0079606
105,264.798,0.58464,0.46882,0.88912,0,0,0,0,0,0.18896,0,0.0079408,0.0079408,0.0079408
106,267.358,0.56305,0.47305,0.87574,0,0,0,0,0,0.11133,0,0.007921,0.007921,0.007921
107,269.779,0.56852,0.48307,0.89422,0,0,0,0,0,0.01172,0,0.0079012,0.0079012,0.0079012
108,272.23,0.54924,0.4478,0.88735,0,0,0,0,0,0.00391,0,0.0078814,0.0078814,0.0078814
109,274.675,0.546,0.48667,0.86714,0,0,0,0,0,0.00586,0,0.0078616,0.0078616,0.0078616
110,277.142,0.57302,0.46549,0.86183,0,0,0,0,0,1.35059,0,0.0078418,0.0078418,0.0078418
111,279.587,0.52653,0.43274,0.87326,0,0,0,0,0,6.19922,0,0.007822,0.007822,0.007822
112,282.041,0.57673,0.5105,0.87919,0,0,0,0,0,1.36523,0,0.0078022,0.0078022,0.0078022
113,284.504,0.55711,0.4529,0.89693,0,0,0,0,0,0.03906,0,0.0077824,0.0077824,0.0077824
114,286.978,0.52844,0.44886,0.87851,0,0,0,0,0,0.00977,0,0.0077626,0.0077626,0.0077626
115,289.443,0.54957,0.46282,0.89491,0,0,0,0,0,0,0,0.0077428,0.0077428,0.0077428
116,291.894,0.56942,0.46855,0.87027,0,0,0,0,0,0.00586,0,0.007723,0.007723,0.007723
117,294.409,0.52841,0.42637,0.84925,0,0,0,0,0,0.01562,0,0.0077032,0.0077032,0.0077032
118,296.892,0.52618,0.43157,0.86494,0,0,0,0,0,0.02344,0,0.0076834,0.0076834,0.0076834
119,299.352,0.57667,0.44151,0.8849,0,0,0,0,0,0.02148,0,0.0076636,0.0076636,0.0076636
120,301.857,0.60532,0.47417,0.90037,0,0,0,0,0,0,0,0.0076438,0.0076438,0.0076438
121,304.247,0.51378,0.41709,0.86667,0,0,0,0,0,0.09375,0,0.007624,0.007624,0.007624
122,306.731,0.57399,0.44922,0.88322,0,0,0,0,0,0.3374,0,0.0076042,0.0076042,0.0076042
123,309.179,0.58979,0.47342,0.89603,0,0,0,0,0,0.34424,0,0.0075844,0.0075844,0.0075844
124,311.643,0.58931,0.43785,0.8893,0,0,0,0,0,0.17578,0,0.0075646,0.0075646,0.0075646
125,314.08,0.53298,0.45462,0.8844,0,0,0,0,0,0.0625,0,0.0075448,0.0075448,0.0075448
126,316.574,0.55653,0.45704,0.86729,0,0,0,0,0,0.00586,0,0.007525,0.007525,0.007525
127,318.982,0.51175,0.41576,0.87641,0,0,0,0,0,0.01562,0,0.0075052,0.0075052,0.0075052
128,321.453,0.51044,0.43427,0.85975,0,0,0,0,0,0.00977,0,0.0074854,0.0074854,0.0074854
129,323.875,0.57586,0.43306,0.91858,0,0,0,0,0,0.01172,0,0.0074656,0.0074656,0.0074656
130,326.371,0.55047,0.42846,0.89529,0,0,0,0,0,0.02734,0,0.0074458,0.0074458,0.0074458
131,328.773,0.52152,0.41344,0.88528,0,0,0,0,0,0.0332,0,0.007426,0.007426,0.007426
132,331.207,0.53297,0.41051,0.8811,0,0,0,0,0,0.15625,0,0.0074062,0.0074062,0.0074062
133,333.654,0.54792,0.42847,0.88296,0,0,0,0,0,0.17383,0,0.0073864,0.0073864,0.0073864
134,336.098,0.55327,0.43915,0.89298,0,0,0,0,0,0.08398,0,0.0073666,0.0073666,0.0073666
135,338.611,0.55363,0.44339,0.88686,0,0,0,0,0,0.17871,0,0.0073468,0.0073468,0.0073468
136,341.122,0.56746,0.4519,0.89725,0,0,0,0,0,0.00195,0,0.007327,0.007327,0.007327
137,343.567,0.54994,0.43941,0.88878,0,0,0,0,0,0.00195,0,0.0073072,0.0073072,0.0073072
138,345.982,0.56851,0.45861,0.88844,0,0,0,0,0,0.01367,0,0.0072874,0.0072874,0.0072874
139,348.416,0.56502,0.48181,0.90591,0,0,0,0,0,0.02148,0,0.0072676,0.0072676,0.0072676
140,350.877,0.59335,0.48122,0.91059,0,0,0,0,0,0.06738,0,0.0072478,0.0072478,0.0072478
141,353.289,0.52837,0.45972,0.88205,0,0,0,0,0,0.07422,0,0.007228,0.007228,0.007228
142,355.754,0.52269,0.4151,0.88003,0,0,0,0,0,0.11621,0,0.0072082,0.0072082,0.0072082
143,358.181,0.52304,0.39891,0.88417,0,0,0,0,0,0.33057,0,0.0071884,0.0071884,0.0071884
144,360.674,0.52115,0.41696,0.86231,0,0,0,0,0,0.13672,0,0.0071686,0.0071686,0.0071686
145,363.121,0.49611,0.40042,0.86579,0,0,0,0,0,0.14355,0,0.0071488,0.0071488,0.0071488
146,365.579,0.51849,0.43067,0.86977,0,0,0,0,0,0.19922,0,0.007129,0.007129,0.007129
147,368.011,0.51869,0.43801,0.8742,0,0,0,0,0,0.02148,0,0.0071092,0.0071092,0.0071092
148,370.463,0.48383,0.38319,0.85584,0,0,0,0,0,0.0332,0,0.0070894,0.0070894,0.0070894
149,372.884,0.53807,0.44806,0.87069,0,0,0,0,0,0.04883,0,0.0070696,0.0070696,0.0070696
150,375.301,0.52032,0.4099,0.87141,0,0,0,0,0,0.03516,0,0.0070498,0.0070498,0.0070498
151,377.738,0.51864,0.38154,0.87689,0,0,0,0,0,0.0293,0,0.00703,0.00703,0.00703
152,380.178,0.54223,0.4618,0.89344,0,0,0,0,0,0.07422,0,0.0070102,0.0070102,0.0070102
153,382.638,0.57043,0.41747,0.89153,0,0,0,0,0,0.0918,0,0.0069904,0.0069904,0.0069904
154,385.096,0.52753,0.41329,0.87349,0,0,0,0,0,0.09375,0,0.0069706,0.0069706,0.0069706
155,387.561,0.51794,0.40394,0.86628,0,0,0,0,0,0.00391,0,0.0069508,0.0069508,0.0069508
156,390.004,0.53036,0.41082,0.88557,0,0,0,0,0,0.01172,0,0.006931,0.006931,0.006931
157,392.421,0.52094,0.40026,0.88028,0,0,0,0,0,0.01367,0,0.0069112,0.0069112,0.0069112
158,394.853,0.531,0.38109,0.86995,0,0,0,0,0,0.01562,0,0.0068914,0.0068914,0.0068914
159,397.346,0.48787,0.36984,0.85079,0,0,0,0,0,0.0293,0,0.0068716,0.0068716,0.0068716
160,399.824,0.53534,0.39108,0.86772,0,0,0,0,0,0.01172,0,0.0068518,0.0068518,0.0068518
161,402.241,0.51764,0.41598,0.87143,0,0,0,0,0,0.01562,0,0.006832,0.006832,0.006832
162,404.802,0.53836,0.44249,0.89363,0,0,0,0,0,0.01562,0,0.0068122,0.0068122,0.0068122
163,407.285,0.53707,0.4319,0.8858,0,0,0,0,0,0.01172,0,0.0067924,0.0067924,0.0067924
164,410.089,0.49868,0.37552,0.85447,0,0,0,0,0,0,0,0.0067726,0.0067726,0.0067726
165,412.458,0.5356,0.42899,0.87596,0,0,0,0,0,0,0,0.0067528,0.0067528,0.0067528
166,414.899,0.53907,0.41386,0.88808,0,0,0,0,0,0.01758,0,0.006733,0.006733,0.006733
167,417.367,0.53652,0.41808,0.87442,0,0,0,0,0,0.05859,0,0.0067132,0.0067132,0.0067132
168,419.808,0.52638,0.40508,0.88269,0,0,0,0,0,0.06836,0,0.0066934,0.0066934,0.0066934
169,422.266,0.52774,0.40486,0.87588,0,0,0,0,0,0.14746,0,0.0066736,0.0066736,0.0066736
170,424.724,0.58689,0.47887,0.91997,0,0,0,0,0,0.46777,0,0.0066538,0.0066538,0.0066538
171,427.166,0.52005,0.39223,0.85954,0,0,0,0,0,0.13086,0,0.006634,0.006634,0.006634
172,429.597,0.54066,0.42333,0.89459,0,0,0,0,0,0.2832,0,0.0066142,0.0066142,0.0066142
173,432.114,0.51264,0.41086,0.86272,0,0,0,0,0,0.00977,0,0.0065944,0.0065944,0.0065944
174,434.537,0.52648,0.40679,0.87794,0,0,0,0,0,0.00781,0,0.0065746,0.0065746,0.0065746
175,437.002,0.50881,0.38765,0.86398,0,0,0,0,0,0.0625,0,0.0065548,0.0065548,0.0065548
176,439.411,0.50087,0.37774,0.87146,0,0,0,0,0,0.05859,0,0.006535,0.006535,0.006535
177,441.844,0.59175,0.46002,0.91269,0,0,0,0,0,0.06055,0,0.0065152,0.0065152,0.0065152
178,444.296,0.5065,0.40684,0.87559,0,0,0,0,0,0.09277,0,0.0064954,0.0064954,0.0064954
179,446.752,0.53989,0.39958,0.87191,0,0,0,0,0,0.05469,0,0.0064756,0.0064756,0.0064756
